ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906219044,"ООО ""НЕОДИНАМИКА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОДИНАМИКА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""НЕОДИНАМИКА""",,53033000,1589040,12,Да,
3902001142,"ООО "" ЭПОХА ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" ЭПОХА """,Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО "" ЭПОХА """,,121560000,1579767,37,Да,
3902802030,"ООО ""ГЛОБАЛКОМ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛКОМ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ГЛОБАЛКОМ""",,30217000,1547767,8,Нет,
3906253870,"ООО ""СПЕЦПРОФИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦПРОФИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СПЕЦПРОФИ""",,59503000,1464973,7,Да,
3907211143,"ООО ""ЛАЙКА ИНТЕЛЛЕКТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЙКА ИНТЕЛЛЕКТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЛАЙКА ИНТЕЛЛЕКТ""",,27312000,1459071,8,Нет,
7721288684,"ООО ""СИРИУС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СИРИУС""",,160695000,1447731,3,Нет,
3906375090,"ООО ""АРТ-ТЕХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-ТЕХ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""АРТ-ТЕХ""",,13056000,1424519,3,Нет,
3906369434,"ООО ""ИНСТАТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИНСТАТ""",,19769000,1294927,8,Да,
3906359796,"ООО ""ВЦК""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕДРЕНЧЕСКИЙ ЦЕНТР ""КОНСТАНТА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ВЦК""",,25871000,1285177,9,Да,
3906250661,"ООО ""АКИП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКИП""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АКИП""",,22137000,1258788,12,Да,
