Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"ООО ""ИНОК""",3904048795,1023900584840,390404879,"236040,Калининградская область,город Калининград,ул. Горького, д. 55 литер а, этаж5",Действующая,Да,,10 200 руб,,1 млн руб.,rusprofile
"ООО ""8Й МОСТ""",3906384231,1193926013577,390638423,"236005,Калининградская область,город Калининград,Тихорецкая ул., д. 18, офис1",Действующая,Да,,10 000 руб,,8 млн руб.,rusprofile
"ООО ""МК-БИЗНЕС ОНЛАЙН""",3906375519,1183926040913,390637551,"236016,Калининградская область,г Калининград,ул Литовский Вал, д. 21а, офис4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЛЬПОСОФТ""",3906359933,1173926026450,390635993,"236006,Калининградская область,город Калининград,Московский пр-кт, д. 29, кв. 24",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""СИГИС ТЕХНОЛОГИИ""",3906399703,1213900002271,390639970,"236029,Калининградская область,г Калининград,Арсенальный пер, д. 80-90, блок-секция 82",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ДИ-ИКС-ДО""",3906381255,1193926009177,390638125,"236010,Калининградская область,г Калининград,ул Тенистая Аллея, д. 42в, подв. 1 офис7",Действующая,Да,,100 000 руб,,1 млн руб.,rusprofile
"ООО ""ЕТС ИНТЕРНЕЙШНЛ""",3906986892,1163926062970,390698689,"236022,Калининградская область,г Калининград,Театральная ул, д. 30, офис 407-408 помещ. 55-56",Действующая,Да,,12 500 руб,,1 млн руб.,rusprofile
"ООО ""БЕЛОЕ ОЗЕРО""",3906372290,1183926023445,390637229,"236006,Калининградская область,г Калининград,ул Литовский Вал, д. 62, помещ.4",Действующая,Да,,12 000 руб,,1 млн руб.,rusprofile
"ООО ""РС""",3906906061,1173926016990,390690606,"236041,Калининградская область,г Калининград,ул Куйбышева, д. 53а, помещ. V иза",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""НЕОДИНАМИКА""",3906219044,1103925015930,390621904,"236022,Калининградская область,г Калининград,ул Шиллера, д. 7, литерб",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО "" ЭПОХА """,3902001142,1023900550442,390200114,"238050,Калининградская область,Гусевский район, город Гусев,ул. Победы, д.10",Действующая,Да,,40 000 руб,,1 млн руб.,rusprofile
"ООО ""ГЛОБАЛКОМ""",3902802030,1133926016861,390280203,"238050,Калининградская область,Гусевский район, город Гусев,ул. Зворыкина, д. 2 к. 2, помещ.5",Действующая,Да,,5 000 000 руб,,1 млн руб.,rusprofile
"ООО ""СПЕЦПРОФИ""",3906253870,1113926045771,390625387,"236008,Калининградская область,город Калининград,ул. Л.Голикова, д. 22, помещ. 1 мансардный этаж",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ЛАЙКА ИНТЕЛЛЕКТ""",3907211143,1103925024961,390721114,"236010,Калининградская область,город Калининград,пл. Победы, д. 10 помещение 3, офис 405, этаж4",Действующая,Да,,500 000 руб,,1 млн руб.,rusprofile
"ООО ""СИРИУС""",7721288684,1157746245128,772128868,"236003,Калининградская область,г Калининград,Московский пр-кт, д. 188а, офис 301",Действующая,Да,,15 000 руб,,1 млн руб.,rusprofile
"ООО ""АРТ-ТЕХ""",3906375090,1183926037822,390637509,"236038,Калининградская область,г Калининград,Костромская ул, д. 10, пом.4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ИНСТАТ""",3906369434,1183926015514,390636943,"236006,Калининградская область,город Калининград,Ленинский пр-кт, д. 30, офис 708",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ВЦК""",3906359796,1173926026230,390635979,"236001,Калининградская область,город Калининград,ул Генерала Челнокова, д. 56, кв. 128",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АКИП""",3906250661,1113926041129,390625066,"236010,Калининградская область,город Калининград,пр-кт Победы, д.117, 17",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ИННОБАЛТ""",3906295486,1133926020128,390629548,"236029,Калининградская область,город Калининград,ул. Горького, д. 55 литера б, помещ. 24",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""МАПИЛАБ""",3906121546,1043902813954,390612154,"236040,Калининградская область,город Калининград,Гаражная ул, д. 2, кабинет 309",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КИИТ""",3906248831,1113926037280,390624883,"236022,Калининградская область,город Калининград,Театральная ул., д. 35 литер XXXI, офис 407",Действующая,Да,,20 000 руб,,1 млн руб.,rusprofile
"ООО ""ЭЛФОСТ""",3913500464,1083925031948,391350046,"236022,Калининградская область,г Калининград,Театральная ул, д. 30, помещ.9",Действующая,Да,,85 000 руб,,1 млн руб.,rusprofile
"ООО ""ДЕМЕТРА""",3906284357,1123926078935,390628435,"236009,Калининградская область,город Калининград,Большая окружная 3-я ул., д.2-4",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ИНСТА МЕДИА СЕРВИС""",3904606464,1093925016613,390460646,"236000,Калининградская область,город Калининград,Театральная ул., д.30, 503",Действующая,Да,,200 000 руб,,1 млн руб.,rusprofile
"ООО ""ДЖЕТМИКС""",3906992198,1163926071088,390699219,"236022,Калининградская область,город Калининград,ул. Генделя, д. 5, офис 216",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""КОРЕКС""",3917055493,1213900011445,391705549,"238311,Калининградская область,Гурьевский р-н, п Большое Исаково,Уютная ул, д. 4, кв. 43",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""А-СИСТЕМ""",3908032891,1053900181136,390803289,"236016,Калининградская область,город Калининград,ул. Боткина, д. 2, помещ. XIII",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙТИНЕРИС""",7736124495,1157746056522,773612449,"236022,Калининградская область,г Калининград,пл Победы, д. 4, этаж/под/литер 5/№1/VIII помещ. №6",Действующая,Да,,30 000 руб,,1 млн руб.,rusprofile
"ООО ""ПРОФСОФТ""",3906992381,1163926071341,390699238,"236010,Калининградская область,город Калининград,Литейная ул., д. 6, кв.2",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АРДИС""",3906244121,1113926029425,390624412,"236010,Калининградская область,город Калининград,ул. Тенистая Аллея, д. 18",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ОРУС""",3906245132,1113926031647,390624513,"236013,Калининградская область,город Калининград,Алданская ул., д.30, 78",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""НАВИ 39""",3917501719,1083925015404,391750171,"236023,Калининградская область,город Калининград,ул. Каштановая аллея, д.153, 10",Действующая,Да,,10 000 руб,,39 млн руб.,rusprofile
"ООО ""ДАКС-ГРУПП""",3906355600,1173926020047,390635560,"236006,Калининградская область,город Калининград,ул. Маршала Баграмяна, д. 36, офис VII",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ВР НЕКСТ""",3906357284,1173926022600,390635728,"236014,Калининградская область,город Калининград,Советский пр-кт, д. 187, офис 14",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
